	Component	Type	Rarity	Subtype	Loc 1	Loc 2	Loc 3	Ship types	Info	
	Hybrid Capacitors	Man	Com	Capacitor	Ship Wreck Salvage					
	Imperial Shielding	Man	VRare	Shielding	Ship Wreck Salvage					
	Improvised Components	Man	VRare							
	Inconsistent Shield Soak Analysis	Data	Com	Shield Frequency System	NPC Ship Scanning					
	Insulating Membrane	Com								
	Ion Distributor	Com	Std		<70 Tauri>		Mission Reward			
	Iron	Ele	VCom	Raw Material	Surface Prospecting	Ice Rings - Mining				
	Irregular Emission Data	Data	Com	Emission Data	Ship Wreck Salvage					
	Magnetic Emitter Coil	Com	Std		Virts Dock, Chemaluk	Mission Reward				
	Manganese	Ele	Com	Raw Material	Surface Prospecting					
	Mechanical Components	Man	Std	Mechanical Component	Ship Salvage (Trade Ships)			Hauler		
	Mechanical Equipment	Man	Com	Mechanical Component	Ship Wreck Salvage			Hauler		
	Mechanical Scrap	Man	VCom	Mechanical Component	Ship Wreck Salvage			Hauler		
	Mercury	Ele	Std	Raw Material	Surface Prospecting					
	Micro Controllers	Com	Std							
	Micro-Weave Cooling Hoses	Com			Mission Reward					
	Military Supercapacitors	Man								
	Modified Consumer Firmware	Data	Com	Firmware	Surface POI - Data Point	Ship Wreck Salvage				
	Modified Embedded Firmware	Data		Firmware	Surface POI - Data Point					
	Military Grade Alloys	Man	VRare	Heat Resistant Alloy	Ship Wreck	Mission Reward		Military/Authority		
	Modular Terminals	Com			Mission Reward					
	Molybdenum	Ele	Std	Raw Material	Surface Prospecting					
	Nanobreakers	Com	Std		Mission Reward					
	Neofabric Insulation	Com			Mission Reward					
	Nickel	Ele	VCom	Raw Material	Surface Prospecting	Ice Rings - Mining				
	Niobium	Ele	Std	Raw Material	Surface Prospecting					
	Open Symmetric Keys	Data	Std	Encryption Code	POI Data Point	Ship Wreck Salvage				
	Osmium	Com	Std		Mining					
	Peculiar Shield Frequency Data	Data	VRare	Shield Frequency System	NPC Ship Scanning					
	Pharmaceutil Isolators	Man								
	Phase Alloys	Man	Std	Lightweight Alloy	Ship Wreck Salvage					
	Phosphorus	Ele	VCom	Raw Material	Surface Prospecting	Ice Rings - Mining				
	Platinum	Com	Std		Mining					
	Polonium	Ele	Rare	Raw Material	Surface Prospecting					
	Polymer Capacitors	Man	Rare	Capacitor	Ship Wreck Salvage					
	Power Converter	Com	Std		Mullane Terminal, Bag 7	<Lakota>				
	Power Transfer Bus	Com	Std		Hoften Enterprise, Inheretii	Bunnell Dock, Nogambe				
	Praseodymium	Com	Std		Mining	Mining Mission Reward (yes)			Mission requiring to deliver methanol monohydrate	
	Precipitated Alloys	Man	Std	Heat Resistant Alloy	Ship Wreck Salvage					
	Proprietary Composites	Man	Rare	High Density Composites	Ship Wreck Salvage					
	Proto Heat Radiators	Man								
	Proto Light Alloys	Man	Rare	Lightweight Alloy	Ship Wreck Salvage					
	Proto Radiolic Alloys	Man	VRare	Lightweight Alloy	Ship Wreck Salvage					
	Radiation Baffle	Com	Std		Nespoli Hub, Wailaroju	<Heget>				
	Refined Focus Crystals	Man	Rare	Focusing Crystal	Ship Wreck Salvage					
	Reinforced Mounting Plate	Com	Std		<Eurybia>					
	Ruthenium	Ele	Rare	Raw Material	Surface Prospecting					
	Salvaged Alloys	Man	VCom	Lightweight Alloy	Ship Wreck Salvage			Fighter		
	Samarium	Com	Std		Mining					
	Security Firmware Patch	Data	Rare	Firmware						
	Selenium	Ele	Com	Raw Material	Surface Prospecting					
	Shield Emitters	Man	Com	Shielding	Ship Wreck Salvage		Surface POI	Fighter		
	Shielding Sensors	Man	Std	Shielding						
	Soontil Relics	Com	Rare		Cheranovksy City, Nguri					
	Specialised Legacy Firmware	Data	VCom	Firmware	Ship Wreck Salvage	Mission Reward				
	Strange Wake Solutions	Data	Std	Scan Data	Wake Scanning	Mission Reward				
	Sulphur	Ele	VCom	Raw Material	Surface Prospecting	Ice Rings - Mining				
	Tagged Encryption Codes	Data	Com	Encryption Code	Mission Reward					
	Technetium	Ele	Rare	Raw Material	Surface Prospecting					
	Telemetry Suite	Com			Mission Reward					
	Tellurium	Ele	Rare	Raw Material	Surface Prospecting					
	Tempered Alloys	Man	VCom	Heat Resistant Alloy	Ship Wreck Salvage					
	Thermic Alloys	Man								
	Tin	Ele	Std	Raw Material	Surface Prospecting					
	Tungsten	Ele	Std	Raw Material	Surface Prospecting					
	Unexpected Emission Data	Data	Std	Emission Data	NPC Ship Scanning					
	Unidentified Scan Archives	Data	Com	Scan Data	NPC Ship Scanning					
	Unknown Fragment	Man	VRare		Destroy an UA					
	Untypical Shield Scans	Data	Std	Shield Frequency System	NPC Ship Scanning					
	Vanadium	Ele	Com	Raw Material	Surface Prospecting	Ice Rings - Mining				
	Worn Shield Emitters	Man	VCom	Shielding	Ship Wreck Salvage					
	Yttrium	Ele	Rare	Raw Material	Surface Prospecting					
	Zinc	Ele	Com	Raw Material	Surface Prospecting					
	Zirconium	Ele	Com	Raw Material	Surface Prospecting	Mining				
